,collocation,lemma,rel type,deprel type,count,word 1 count,word 2 count,lemma count,lemma 1 count,lemma 2 count,dice,log-likelihood,translation,tsne_1,tsne_2,origin,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,cluster_agglo
529,иркутской области,иркутский область,propn-noun,amod-obl,8,9,377,8.0,14.0,471.0,0.0329896907216494,87.50816112570465,Irkutsk region,40.010002,-46.641846,ru,,,,94.0
530,предстательной железы,предстательный железа,adj-noun,amod-nmod,5,6,18,6.0,7.0,25.0,0.375,110.9199932757765,prostate gland,6.955232,-15.529254,ru,,,,37.0
531,модельный ряд,модельный ряд,adj-noun,amod-nsubj,3,3,55,6.0,7.0,106.0,0.1061946902654867,92.3604955561459,Model series,12.376829,7.7233534,ru,,,,9.0
532,компьютерной техники,компьютерный техника,adj-noun,amod-nmod,3,9,45,3.0,30.0,102.0,0.0454545454545454,29.70725541375577,computer technology,28.166954,1.6480372,ru,,,,105.0
533,кухонной мебели,кухонный мебель,adj-noun,amod-nmod,3,6,27,3.0,25.0,64.0,0.0674157303370786,33.70900481566787,kitchen furniture,6.790259,-8.240548,ru,,,,63.0
534,пленарном заседании,пленарный заседание,adj-noun,amod-obl,3,3,26,3.0,4.0,46.0,0.12,49.588093999773264,plenary meeting,13.378048,-34.63768,ru,,,,35.0
535,досудебное расследование,досудебный расследование,adj-noun,amod-nsubj:pass,4,6,14,6.0,8.0,35.0,0.2790697674418604,103.1483765617013,Pre -trial investigation,37.193768,7.942409,ru,,,,49.0
536,местные власти,местный власть,adj-noun,amod-nsubj,3,20,82,5.0,90.0,127.0,0.0460829493087557,41.29089157283306,local authorities,24.210447,-43.980408,ru,,,,16.0
537,днп рузаево,днп рузаевый,propn-propn,appos-flat:name,7,8,7,0.0,8.0,0.0,0.0,-inf,DNP Ruzaevo,49.213245,-22.72382,ru,,,,88.0
538,арбитражного суда,арбитражный суд,adj-noun,amod-nmod,4,5,46,8.0,9.0,156.0,0.0969696969696969,118.29705058969556,Arbitration Court,41.55625,7.049211,ru,,,,49.0
539,челябинской области,челябинский область,propn-noun,amod-nmod,4,5,377,6.0,13.0,471.0,0.024793388429752,62.00807337090373,Chelyabinsk region,40.586376,-49.52498,ru,,,,94.0
540,русской литературы,русский литература,adj-noun,amod-nmod,3,25,16,3.0,178.0,34.0,0.0283018867924528,25.55452327243984,Russian literature,44.164867,-5.6344852,ru,,,,30.0
541,официальный представитель,официальный представитель,adj-noun,amod-nsubj,5,54,32,8.0,138.0,130.0,0.0597014925373134,66.57239835709333,Official representative,19.359707,-45.64092,ru,,,,16.0
542,соединенные штаты,соединить штат,verb-propn,amod-nsubj,4,4,7,13.0,36.0,30.0,0.3939393939393939,204.2200475931168,United States,35.061264,-37.713078,ru,,,,59.0
543,гуманитарной помощи,гуманитарный помощь,adj-noun,amod-nmod,4,9,93,6.0,14.0,321.0,0.035820895522388,65.4645482674241,humanitarian aid,33.854683,-0.046246804,ru,,,,55.0
544,новый год,новый год,adj-noun,amod-obj,14,154,197,27.0,710.0,1923.0,0.0205089251804025,61.373021587729454,New Year,-51.875195,7.6366496,ru,,,,11.0
545,общая задолженность,общий задолженность,adj-noun,amod-nsubj,3,36,12,3.0,198.0,26.0,0.0267857142857142,26.602341840043664,General debt,3.77979,18.00999,ru,,,,6.0
546,собственное производство,собственный производство,adj-noun,amod-root,3,8,60,6.0,117.0,182.0,0.040133779264214,44.24354602769017,Own production,30.264215,-16.528313,ru,,,,21.0
547,василий панасюк,василие панасюка,propn-propn,appos-flat:name,3,11,3,0.0,0.0,0.0,0.0,-inf,Vasily Panasyuk,46.354225,-31.609425,ru,,,,107.0
548,рабочих мест,рабочий место,adj-noun,amod-nmod,8,24,45,14.0,137.0,392.0,0.052930056710775,101.85315562784672,jobs,-50.051556,18.847092,ru,,,,77.0
549,тренажерный зал,тренажерный зал,adj-noun,amod-appos,4,4,22,7.0,7.0,54.0,0.2295081967213114,124.43964423984288,Silent Hall,12.297803,-24.330883,ru,,,,76.0
550,дню инвалида,день инвалид,propn-noun,iobj-nmod,3,24,5,4.0,579.0,23.0,0.0132890365448504,30.421142008155584,Disabled Day,-54.804237,1.2710841,ru,,,,98.0
551,общественная организация,общественный организация,adj-noun,amod-nsubj,3,8,32,10.0,94.0,221.0,0.0634920634920634,85.07695196941495,public organization,29.324392,-12.774152,ru,,,,87.0
552,главный герой,главный герой,adj-noun,amod-nsubj,6,41,15,12.0,417.0,61.0,0.0502092050209205,102.6057969853282,The main character,14.83384,-38.362617,ru,,,,16.0
553,общего фонда,общий фонд,adj-noun,amod-nmod,3,30,42,5.0,198.0,82.0,0.0357142857142857,37.76162236556411,common fund,23.325554,-8.887934,ru,,,,2.0
554,толковый словарь,толковый словарь,adj-noun,amod-root,3,3,14,4.0,4.0,21.0,0.32,78.93708510138094,Explanatory dictionary,-0.41528222,-18.27915,ru,,,,23.0
555,местные жители,местный житель,adj-noun,amod-nsubj,5,20,35,9.0,90.0,134.0,0.0803571428571428,84.57268215157092,Local residents,26.549273,-48.11892,ru,,,,95.0
556,социальная сеть,социальный сеть,adj-noun,amod-root,6,12,34,29.0,110.0,146.0,0.2265625,333.2475249264389,Social network,30.22537,-12.127108,ru,,,,87.0
557,учебных заведений,учебный заведение,adj-noun,amod-nmod,4,9,9,13.0,54.0,47.0,0.2574257425742574,177.3300253469497,educational institutions,29.468796,-21.384314,ru,,,,17.0
558,демократической республики,демократический республика,adj-propn,amod-nmod,3,5,77,3.0,10.0,115.0,0.048,36.25469787046313,Democratic Republic,32.682022,-36.62126,ru,,,,59.0
559,чрезвычайных ситуаций,чрезвычайный ситуация,adj-noun,amod-nmod,3,3,12,6.0,11.0,150.0,0.0745341614906832,78.6780045684427,emergency situations,21.527544,-16.890175,ru,,,,19.0
560,физической культуры,физический культура,adj-noun,amod-nmod,3,11,57,7.0,70.0,98.0,0.0833333333333333,70.17859059944749,physical culture,37.84784,-10.156568,ru,,,,8.0
561,судебные приставы,судебный пристав,adj-noun,amod-nsubj,3,6,7,6.0,36.0,12.0,0.25,95.1405591852963,bailiffs,40.10931,7.2867503,ru,,,,49.0
562,личном кабинете,личный кабинет,adj-noun,amod-obl,7,9,12,17.0,85.0,44.0,0.2635658914728682,229.438066534698,personal account,9.825754,-31.372396,ru,,,,18.0
563,реальные деньги,реальный деньги,adj-noun,amod-nmod,7,14,136,9.0,65.0,195.0,0.0692307692307692,83.85886538028717,Real money,12.053726,12.279296,ru,,,,9.0
564,льготной ипотеки,льготный ипотека,adj-noun,amod-nmod,3,5,13,3.0,8.0,37.0,0.1333333333333333,44.85884650237858,preferential mortgage,8.752621,-6.3226666,ru,,,,63.0
565,затонувших кораблей,затонуть корабль,verb-noun,amod-nmod,3,3,9,3.0,4.0,26.0,0.2,53.17149711027741,sunken ships,21.000675,-14.483627,ru,,,,115.0
566,настольных игр,настольный игра,adj-noun,amod-nmod,5,6,44,13.0,21.0,385.0,0.064039408866995,150.8181927651167,board games,2.0082603,-2.7228575,ru,,,,92.0
567,омской филармонии,омской филармония,propn-noun,amod-nmod,3,7,3,0.0,3.0,3.0,0.0,-inf,Omsk Philharmonic,27.10801,-34.5487,ru,,,,59.0
568,совета безопасности,совет безопасность,propn-noun,nmod-nmod,3,61,92,4.0,131.0,127.0,0.0310077519379844,28.149228690192103,Security Council,23.650856,-38.523766,ru,,,,16.0
569,правам человека,право человек,noun-noun,nmod-nmod,4,7,139,8.0,213.0,727.0,0.0170212765957446,32.22269503027201,Human rights,40.07668,-0.13202894,ru,,,,111.0
570,дебиторской задолженности,дебиторский задолженность,adj-noun,amod-nmod,3,3,14,3.0,3.0,26.0,0.2068965517241379,57.67005249671638,receivables,3.9491684,16.847992,ru,,,,6.0
571,национальных протоколов,национальный протокол,adj-noun,amod-nmod,3,12,3,3.0,103.0,23.0,0.0476190476190476,31.33737298287452,national protocols,20.164148,-17.937565,ru,,,,19.0
572,массажного кресла,массажный кресло,adj-noun,amod-nmod,3,3,8,4.0,9.0,24.0,0.2424242424242424,65.39571932889521,massage chair,11.426723,-10.89415,ru,,,,63.0
573,федеральном округе,федеральный округ,adj-noun,amod-nmod,3,6,12,4.0,85.0,44.0,0.0620155038759689,40.337566431611776,Federal District,34.568413,-22.137974,ru,,,,21.0
574,доступной среды,доступный среда,adj-noun,amod-nmod,3,16,27,4.0,125.0,92.0,0.0368663594470046,31.131429128348827,available environment,2.7060661,13.5985985,ru,,,,118.0
575,рабочей группы,рабочий группа,adj-noun,amod-nmod,7,20,89,11.0,137.0,214.0,0.0626780626780626,87.89945344813168,working group,12.315296,-13.852769,ru,,,,20.0
576,оказания услуг,оказание услуга,noun-noun,nmod-nmod,4,11,76,6.0,28.0,253.0,0.0427046263345195,58.3926389310509,Services,29.696383,6.826626,ru,,,,105.0
577,школьное телевидение,школьный телевидение,adj-noun,amod-nsubj,3,3,14,3.0,31.0,32.0,0.0952380952380952,36.64675900526345,School television,30.881662,-13.595895,ru,,,,87.0
578,ростовской области,ростовский область,propn-noun,amod-obl,13,13,377,13.0,17.0,471.0,0.0532786885245901,154.84810172766447,Rostov region,40.363693,-52.332115,ru,,,,94.0
579,трудовой книжки,трудовой книжка,adj-noun,amod-nmod,4,10,8,9.0,39.0,19.0,0.3103448275862069,140.60360609181225,work book,14.056945,-25.409748,ru,,,,76.0
580,архангельской области,архангельский область,propn-noun,amod-nmod,4,8,377,4.0,10.0,471.0,0.0166320166320166,39.82807423360646,Arkhangelsk region,44.220222,-50.876747,ru,,,,94.0
581,сотового телефона,сотовый телефон,adj-noun,amod-nmod,5,6,53,13.0,20.0,237.0,0.1011673151750972,165.7200806774199,cell phone,14.611528,-11.59567,ru,,,,20.0
582,федерального бюджета,федеральный бюджет,adj-noun,amod-nmod,4,17,27,6.0,85.0,66.0,0.0794701986754966,60.65263423882425,federal budget,24.449394,-12.107022,ru,,,,2.0
583,карта сайта,карта сайт,propn-noun,appos-nmod,5,45,89,5.0,179.0,516.0,0.014388489208633,20.532900305464864,Site map,-6.2182794,-45.643486,ru,,,,97.0
584,пенсионного возраста,пенсионный возраст,adj-noun,amod-nmod,3,10,36,4.0,35.0,89.0,0.064516129032258,41.88882171735168,retirement age,15.202324,-16.916033,ru,,,,19.0
585,радикальной партии,радикальный партия,adj-noun,amod-nmod,4,5,45,4.0,8.0,77.0,0.0941176470588235,56.85005921125412,radical party,31.10855,-36.244827,ru,,,,59.0
586,способы оплаты,способ оплата,noun-noun,nsubj-nmod,5,36,41,6.0,164.0,91.0,0.0470588235294117,48.58932917378843,Payment methods,13.359609,14.872462,ru,,,,6.0
587,заместитель главы,заместитель глава,noun-noun,nsubj-nmod,4,31,34,5.0,48.0,135.0,0.0546448087431694,47.18483683280647,Deputy Head,19.254206,-41.07467,ru,,,,16.0
588,кредитной историей,кредитный история,adj-noun,amod-nmod,3,9,10,9.0,47.0,161.0,0.0865384615384615,93.74664947763084,credit history,32.803566,12.062581,ru,,,,106.0
589,ук рф,ука рождденин,noun-propn,nmod-nmod,8,12,182,0.0,0.0,0.0,0.0,-inf,UK RF,52.48702,-24.250122,ru,,,,88.0
590,бесплатных объявлений,бесплатный объявление,adj-noun,amod-nmod,3,13,15,11.0,117.0,95.0,0.1037735849056603,110.0570654477924,free ads,14.442262,18.228506,ru,,,,93.0
591,магаданской области,магаданский область,propn-noun,amod-nmod,6,6,377,7.0,7.0,471.0,0.0292887029288702,93.27258661389352,Magadan region,44.410328,-48.939163,ru,,,,94.0
592,серебряного века,серебряный век,adj-noun,amod-nmod,3,4,39,5.0,20.0,77.0,0.1030927835051546,62.503590278327465,Silver Age,-17.380934,-8.030622,ru,,,,15.0
593,официальными дилерами,официальный дилер,adj-noun,amod-obl,3,3,4,7.0,138.0,15.0,0.0915032679738562,89.99376076646149,official dealers,27.308195,-18.908419,ru,,,,17.0
594,жидкое стекло,жидкий стекло,adj-noun,amod-obj,3,4,30,5.0,20.0,66.0,0.1162790697674418,64.10098715871572,Liquid glass,8.312834,-10.838437,ru,,,,63.0
595,нижнем тагиле,нижний тагиль,adj-propn,amod-obl,4,17,4,0.0,72.0,0.0,0.0,-inf,Nizhny Tagil,-13.656411,-15.172697,ru,,,,1.0
596,экономического роста,экономический рост,adj-noun,amod-nmod,3,20,32,5.0,69.0,111.0,0.0555555555555555,45.39240767993033,economic growth,39.191456,-6.3760514,ru,,,,8.0
597,голосовое сообщение,голосовой сообщение,adj-noun,amod-obj,4,4,52,5.0,12.0,127.0,0.0719424460431654,63.55885077081621,Voice message,8.818335,12.523131,ru,,,,102.0
598,налогового вычета,налоговый вычет,adj-noun,amod-nmod,3,12,3,6.0,47.0,10.0,0.2105263157894736,94.8563262782991,tax deduction,20.215397,-9.920423,ru,,,,2.0
599,новая владычица,новый владычица,adj-noun,amod-root,4,54,4,4.0,710.0,5.0,0.0111888111888111,44.97807169891894,New Lord,-12.969037,-20.763369,ru,,,,45.0
600,главного управления,главный управление,adj-noun,amod-nmod,3,25,99,7.0,417.0,192.0,0.0229885057471264,35.30228393338621,Main Directorate,20.733213,-34.94843,ru,,,,35.0
601,новосибирской области,новосибирский область,propn-noun,amod-nmod,6,8,377,6.0,15.0,471.0,0.0246913580246913,59.76763969287276,Novosibirsk region,40.745605,-48.190617,ru,,,,94.0
602,технического осмотра,технический осмотр,adj-noun,amod-nmod,3,14,11,3.0,104.0,18.0,0.0491803278688524,32.86745795421302,technical inspection,0.5105053,6.1368904,ru,,,,90.0
603,государственного университета,государственный университет,adj-noun,amod-nmod,4,30,23,6.0,168.0,51.0,0.0547945205479452,55.540340937674046,State University,30.279469,-22.002056,ru,,,,17.0
604,коронавирусной инфекции,коронавирусный инфекция,adj-noun,amod-nmod,4,7,13,7.0,8.0,27.0,0.4,129.16193367913365,coronavirus infection,5.5948424,-19.441944,ru,,,,37.0
605,головного мозга,головной мозг,adj-noun,amod-nmod,3,5,16,3.0,15.0,31.0,0.1304347826086956,41.54434912279248,brain,8.193829,-18.455702,ru,,,,37.0
606,выгодным ценам,выгодный цена,adj-noun,amod-nmod,5,10,32,19.0,83.0,585.0,0.0568862275449101,156.1677139196545,Favorable prices,-0.054442264,15.170557,ru,,,,118.0
607,молодежной палаты,молодежный палата,adj-noun,amod-nmod,3,9,17,3.0,35.0,26.0,0.0983606557377049,37.19848455674946,Youth Chamber,26.694841,-36.392487,ru,,,,59.0
608,волгоградской области,волгоградский область,propn-noun,amod-nmod,10,12,377,14.0,20.0,471.0,0.0570264765784114,162.33655170723796,Volgograd region,39.638306,-54.42683,ru,,,,94.0
609,митрополит корнилий,митрополит корнилие,noun-propn,nsubj-appos,3,5,3,0.0,8.0,0.0,0.0,-inf,Metropolitan Cornelius,46.36969,-30.064247,ru,,,,107.0
610,интимной гигиены,интимный гигиена,adj-noun,amod-nmod,3,3,10,3.0,10.0,10.0,0.3,51.83236067742109,intimate hygiene,12.195218,-16.794891,ru,,,,20.0
611,государственной программы,государственный программа,adj-noun,amod-nmod,3,41,87,4.0,168.0,265.0,0.0184757505773672,20.32945980504155,state program,24.003546,-20.528831,ru,,,,19.0
612,клиентов компании,клиент компания,noun-noun,nmod-nmod,3,48,257,3.0,146.0,567.0,0.0084151472650771,10.02563152089715,Company clients,11.530568,-42.176662,ru,,,,80.0
613,кафедральном соборе,кафедральный собор,adj-noun,amod-nmod,4,4,10,7.0,7.0,26.0,0.4242424242424242,135.80370794050395,Cathedral,23.52788,-47.26496,ru,,,,16.0
614,федерального агентства,федеральный агентство,adj-noun,amod-nmod,3,17,29,4.0,85.0,82.0,0.0479041916167664,35.197353867813945,Federal Agency,33.23718,-20.01416,ru,,,,21.0
615,пенсионная реформа,пенсионный реформа,adj-noun,amod-nsubj,4,5,8,6.0,35.0,21.0,0.2142857142857142,87.0204777866602,Pension reform,17.302105,-9.609189,ru,,,,2.0
616,доступные цены,доступный цена,adj-noun,amod-obj,3,6,189,11.0,125.0,585.0,0.0309859154929577,67.73301906697452,affordable prices,1.5255873,12.849585,ru,,,,118.0
617,харабалинский район,харабалинский район,adj-noun,amod-appos,4,4,47,4.0,4.0,246.0,0.032,58.50051756948233,Kharabalinsky district,45.39018,-48.25129,ru,,,,94.0
618,астраханская область,астраханский область,adj-noun,amod-appos,4,4,63,10.0,12.0,471.0,0.041407867494824,122.50251740217207,Astrakhan region,46.064747,-52.363235,ru,,,,94.0
619,керамическая плитка,керамический плитка,adj-noun,amod-root,6,7,17,10.0,17.0,36.0,0.3773584905660377,164.56811233982444,Ceramic tiles,6.227781,-10.002954,ru,,,,63.0
620,поджелудочной железы,поджелудочный железа,adj-noun,amod-nmod,6,7,18,7.0,8.0,25.0,0.4242424242424242,130.4174146000296,pancreas,6.5457296,-15.581639,ru,,,,37.0
621,медицинской помощи,медицинский помощь,adj-noun,amod-nmod,10,21,93,16.0,75.0,321.0,0.0808080808080808,148.38304503820837,medical care,33.201244,0.16578053,ru,,,,55.0
622,домашних условиях,домашний условие,adj-noun,amod-obl,13,22,103,13.0,71.0,247.0,0.0817610062893081,122.97866387292744,home,6.6994357,-28.05104,ru,,,,18.0
623,минских соглашений,минский соглашение,adj-noun,amod-nmod,4,5,11,5.0,16.0,67.0,0.1204819277108433,66.56202198565006,Minsk agreements,6.437159,20.618357,ru,,,,6.0
624,постоянный представитель,постоянный представитель,adj-noun,amod-nsubj,3,15,32,4.0,66.0,130.0,0.0408163265306122,33.52517812512815,Permanent representative,19.783983,-45.25632,ru,,,,16.0
625,одесской области,одесский область,adj-noun,amod-obl,6,6,377,7.0,10.0,471.0,0.0291060291060291,81.06291717477143,Odessa region,39.203983,-51.184387,ru,,,,94.0
626,международный розыск,международный розыск,adj-noun,amod-obl,3,22,4,3.0,137.0,7.0,0.0416666666666666,37.84684926085174,International wanted list,35.528374,8.576765,ru,,,,49.0
627,повышения квалификации,повышение квалификация,noun-noun,nmod-nmod,3,28,20,12.0,76.0,25.0,0.2376237623762376,170.88582756370306,advanced training,-15.862838,60.566242,ru,,,,60.0
628,межкомнатные двери,межкомнатный дверь,adj-noun,amod-obj,6,9,45,7.0,11.0,89.0,0.14,102.6419242043048,Interior doors,12.287741,-22.076717,ru,,,,76.0
629,обмен веществ,обмен вещество,noun-noun,obj-nmod,4,22,28,9.0,53.0,71.0,0.1451612903225806,106.76169602945448,metabolism,11.519181,3.761385,ru,,,,9.0
630,красноярского края,красноярский край,propn-noun,amod-nmod,4,5,53,8.0,14.0,102.0,0.1379310344827586,112.48208280280232,Krasnoyarsk Territory,42.48658,-43.895138,ru,,,,99.0
631,военного округа,военный округ,adj-noun,amod-nmod,3,12,19,3.0,95.0,44.0,0.0431654676258992,27.747352313250303,military district,31.678843,-42.587727,ru,,,,95.0
632,мочевого пузыря,мочевой пузырь,adj-noun,amod-nmod,4,4,6,5.0,7.0,9.0,0.625,101.26178556866944,bladder,5.959217,-14.707742,ru,,,,37.0
633,капитальные здания,капитальный здание,adj-noun,amod-nmod,3,4,34,3.0,18.0,98.0,0.0517241379310344,33.2289118822664,Capital buildings,14.256977,-22.30906,ru,,,,76.0
634,городского совета,городской совет,adj-noun,amod-nmod,6,21,61,8.0,105.0,131.0,0.0677966101694915,70.94969470798969,City Council,27.96171,-43.864708,ru,,,,95.0
635,максим максимыч,максим максимыч,propn-propn,nsubj-flat:name,3,15,3,3.0,22.0,3.0,0.24,58.74115180410445,Maxim Maksimych,-8.008467,-10.428131,ru,,,,1.0
636,управляющие компании,управлять компания,verb-noun,amod-nsubj,6,6,257,16.0,51.0,567.0,0.0517799352750809,144.13140975870192,Management companies,10.529821,-39.598526,ru,,,,80.0
637,зубной боли,зубной боль,adj-noun,amod-nmod,4,7,26,4.0,16.0,64.0,0.1,51.47129941172898,dental pain,5.534654,-17.94737,ru,,,,37.0
638,вид спорта,вид спорт,noun-noun,root-nmod,4,86,32,8.0,385.0,90.0,0.0336842105263157,56.04739516042173,Sport,42.96791,-12.581587,ru,,,,8.0
639,сербская церковь,сербский церковь,adj-propn,amod-nsubj,3,3,23,3.0,6.0,46.0,0.1153846153846153,45.76947928220034,Serbian church,21.774387,-49.360855,ru,,,,16.0
640,поддержки производства,поддержка производство,noun-noun,nmod-nmod,3,44,79,3.0,113.0,182.0,0.0203389830508474,18.099440375342965,Production support,-7.387929,4.839553,ru,,,,42.0
641,амитег строй,амитег строй,propn-propn,appos-flat:name,3,3,4,3.0,3.0,14.0,0.3529411764705882,61.71842931769788,Amitig Stroy,-7.0727725,-2.771172,ru,,,,62.0
642,плавания судов,плавание суд,noun-noun,nmod-nmod,3,5,13,3.0,10.0,156.0,0.036144578313253,34.405839847400784,Swimming vessels,20.444967,-13.380744,ru,,,,115.0
643,водным путям,водный путь,adj-noun,amod-nmod,3,4,6,3.0,13.0,119.0,0.0454545454545454,34.220907950773835,waterways,8.415545,5.476541,ru,,,,9.0
644,решения суда,решение суд,noun-noun,nmod-nmod,4,79,46,13.0,296.0,156.0,0.0575221238938053,96.41119053214788,court decisions,43.315956,8.327193,ru,,,,64.0
645,экстренную посадку,экстренный посадка,adj-noun,amod-obj,3,4,5,3.0,16.0,19.0,0.1714285714285714,44.25115177594125,Emergency landing,6.3064213,8.968881,ru,,,,102.0
646,избирательная комиссия,избирательный комиссия,adj-noun,amod-nsubj,5,8,18,12.0,28.0,71.0,0.2424242424242424,169.04424344561994,election commission,25.120602,-40.547436,ru,,,,59.0
647,раздвижных дверей,раздвижный дверь,adj-noun,amod-nmod,3,3,16,3.0,5.0,89.0,0.0638297872340425,43.299623653292656,sliding doors,12.158326,-21.747072,ru,,,,76.0
648,красная весна,красный весна,adj-propn,amod-appos,3,7,15,3.0,66.0,39.0,0.0571428571428571,30.71852044761181,Red spring,-14.221065,-8.364436,ru,,,,15.0
649,белгород рио,белгород рио,noun-noun,appos-appos,3,4,8,3.0,10.0,8.0,0.3333333333333333,53.4645583499223,Belgorod Rio,-10.756278,-10.661061,ru,,,,1.0
650,компания комстрой,компания комстрой,noun-propn,nsubj-appos,3,189,3,0.0,567.0,0.0,0.0,-inf,Comstroy company,46.20266,-23.363089,ru,,,,88.0
651,псковской области,псковский область,propn-noun,amod-nmod,4,4,377,5.0,10.0,471.0,0.0207900207900207,52.75169544480741,Pskov region,37.362694,-54.803288,ru,,,,94.0
652,установки колёс,установка колесо,noun-noun,nmod-nmod,3,46,7,3.0,133.0,54.0,0.0320855614973262,24.44830154441297,Windows installations,16.448925,4.4711742,ru,,,,9.0
653,пушных ферм,пушный ферма,adj-noun,amod-nmod,3,4,3,3.0,4.0,10.0,0.4285714285714285,59.550735894590616,fur farms,18.222137,-16.07385,ru,,,,19.0
654,жюля верна,жюль верный,propn-propn,nmod-flat:name,4,4,4,0.0,5.0,16.0,0.0,-inf,Julya Verne,-11.649236,-6.709488,ru,,,,62.0
655,плетеной мебели,плетеной мебель,adj-noun,amod-nmod,3,3,27,3.0,3.0,64.0,0.0895522388059701,52.04791530407965,woven furniture,7.0596995,-8.291618,ru,,,,63.0
656,алла пугачева,алла пугачев,propn-propn,appos-flat:name,4,9,7,4.0,13.0,7.0,0.4,73.77856706082821,Alla Pugacheva,-9.260014,-16.885761,ru,,,,45.0
657,тормозных колодок,тормозной колодка,adj-noun,amod-nmod,3,4,4,3.0,14.0,9.0,0.2608695652173913,50.26153519377112,brake pads,15.013947,4.1168437,ru,,,,9.0
658,енисейская сибирь,енисейский сибирь,adj-propn,amod-appos,3,3,7,3.0,3.0,14.0,0.3529411764705882,61.71842931769788,Yenisei Siberia,-6.259623,-15.203049,ru,,,,65.0
659,земляных работ,земляной работа,adj-noun,amod-nmod,3,3,97,4.0,5.0,739.0,0.010752688172043,44.65707937628031,earthwork,22.60435,-6.068352,ru,,,,2.0
660,романа жюля,роман жюль,noun-propn,nmod-nmod,3,10,4,3.0,34.0,5.0,0.1538461538461538,49.24325192160904,Roman Jules,-11.683789,-6.675993,ru,,,,62.0
661,должностных полномочий,должностной полномочие,adj-noun,amod-nmod,3,8,6,3.0,19.0,14.0,0.1818181818181818,45.14522337913513,official authority,-31.915201,-26.78076,ru,,,,61.0
662,последнего момента,последний момент,adj-noun,amod-obl,3,13,36,5.0,211.0,171.0,0.0261780104712041,29.71052603982389,last moment,-33.437244,7.0474844,ru,,,,72.0
663,современные технологии,современный технология,adj-noun,amod-obj,5,36,71,8.0,177.0,152.0,0.0486322188449848,59.954968478530645,Modern technologies,28.123512,3.3165884,ru,,,,105.0
664,государственной комиссии,государственный комиссия,adj-noun,amod-nmod,3,41,39,3.0,168.0,71.0,0.0251046025104602,21.373999040573835,state commission,25.809315,-38.810173,ru,,,,59.0
665,нижнем новгороде,нижний новгород,adj-propn,amod-nmod,9,17,12,31.0,72.0,35.0,0.5794392523364486,519.9975408706814,Nizhny Novgorod,-13.352773,-14.031128,ru,,,,1.0
666,пенсионного фонда,пенсионный фонд,adj-noun,amod-nmod,5,10,42,8.0,35.0,82.0,0.1367521367521367,97.63795545697212,Pension Fund,22.634869,-10.06405,ru,,,,2.0
667,многодетных семей,многодетный семья,adj-noun,amod-nmod,3,3,15,7.0,12.0,131.0,0.0979020979020979,95.16692879796028,large families,-0.6188078,-29.227442,ru,,,,40.0
668,запасных частей,запасной часть,adj-noun,amod-nmod,3,4,24,6.0,13.0,274.0,0.0418118466898954,68.55688172206283,spare parts,19.186552,-21.069445,ru,,,,19.0
669,приморского края,приморский край,propn-noun,amod-nmod,5,6,53,9.0,24.0,102.0,0.1428571428571428,116.39651367999612,Primorsky Territory,41.804886,-44.380764,ru,,,,99.0
670,английского языка,английский язык,adj-noun,amod-nmod,3,13,30,10.0,48.0,102.0,0.1333333333333333,115.60098802298307,English,43.661007,-6.450649,ru,,,,30.0
671,дошкольного возраста,дошкольный возраст,adj-noun,amod-nmod,6,12,36,6.0,23.0,89.0,0.1071428571428571,73.87224501743913,preschool age,15.335813,-17.622759,ru,,,,19.0
672,маломерных судов,маломерный суд,adj-noun,amod-nmod,3,3,13,3.0,3.0,156.0,0.0377358490566037,46.61726822704077,small vessels,20.618624,-13.745533,ru,,,,115.0
673,стран снг,страна сог,noun-propn,nmod-nmod,4,56,13,0.0,313.0,1.0,0.0,-inf,CIS countries,50.584442,-21.57883,ru,,,,88.0
674,населенных пунктов,населить пункт,verb-noun,amod-nmod,8,11,22,18.0,21.0,93.0,0.3157894736842105,284.4853494949639,settlements,27.050745,-49.351807,ru,,,,95.0
675,прожиточного минимума,прожиточный минимум,adj-noun,amod-nmod,4,4,6,5.0,5.0,31.0,0.2777777777777778,94.61101686581968,subsistence minimum,1.1323911,-21.03433,ru,,,,23.0
676,смоленской области,смоленский область,propn-noun,amod-nmod,11,12,377,14.0,21.0,471.0,0.056910569105691,160.04002933949232,Smolensk region,38.31316,-52.195522,ru,,,,94.0
677,алкогольного опьянения,алкогольный опьянение,adj-noun,amod-nmod,5,6,6,5.0,19.0,6.0,0.4,94.69546963647008,intoxication,13.436961,-15.385391,ru,,,,20.0
678,постельного белья,постельный белье,adj-noun,amod-nmod,4,4,10,10.0,10.0,30.0,0.5,191.9517184626311,bedding,9.006854,-12.108535,ru,,,,63.0
679,свежие новости,свежий новость,adj-noun,amod-nsubj,7,24,382,7.0,68.0,438.0,0.0276679841897233,49.35762175358832,Fresh news,-10.882157,0.5002043,ru,,,,42.0
680,искусственного интеллекта,искусственный интеллект,adj-noun,amod-nmod,3,6,5,6.0,18.0,8.0,0.4615384615384615,112.30377310700716,artificial intelligence,11.941455,-16.54361,ru,,,,20.0
681,кассационных жалобы,кассационный жалоба,adj-noun,amod-nmod,3,3,11,3.0,5.0,39.0,0.1363636363636363,48.38417077064514,Cassation complaints,9.212953,18.047588,ru,,,,6.0
